model_name,total_reward,bert_raw,bert_norm,MPNet_raw,MPNet_norm,RLHF_raw,RLHF_norm,reciprocate_raw,reciprocate_norm,DPO_raw,DPO_norm
../Airolima-Chronos-Grad-L2-13,0.214849144603146,-0.01917797674759851,0.85075587005468,0.5953831273436421,0.8611557842821915,-0.602132185524967,0.2150811459124248,-2.021851270902038,0.16546268115233312,-12.783404154269862,0.3462749367021244
../Chronoboros-Grad-L2-13B-GPT,0.22182413078728155,-0.018770396678946415,0.8650564768084595,0.6019430901905926,0.8739485700552752,-0.593646693769688,0.21710809826048713,-1.923957773138485,0.1671792322434476,-12.634752012737323,0.3651141372653218
../CodeUp-Llama-2-13B-Chat-HF-,0.23234718575629804,-0.018624170867136757,0.8902104300091491,0.6150634069257918,0.9060689234522721,-0.4500600050038477,0.23485628826244703,-1.5710628929207986,0.18231867309070837,-12.769812593715056,0.3468155738898284
../Firefly-Llama2-13B-v1.2-GPT,0.23582757617012873,-0.01775646245667961,0.9215758019270642,0.6452230539861299,0.9584095621417246,-0.5487237943047658,0.21628782643473923,-1.3748835390814196,0.19337082899319047,-12.639307670904989,0.36845416631374667
../Huginn-13B-v4-GPTQ,0.2553336682975229,-0.01566884620672143,0.9704258675078864,0.6516280775541733,0.9701629863301787,-0.5983483567012199,0.2201662661172802,-2.3293371901276485,0.16062300079957545,-12.120912505750526,0.43104233140308024
../Huginn-13B-v4.5-GPTQ,0.25912494209455844,-0.015720819669195064,0.9718984718984719,0.65127406796193,0.9671069671069671,-0.5827113837663613,0.22432804686962649,-2.269583020485673,0.16242515332601257,-12.085783465666278,0.4365192953978632
../Huginn-v3-13B-GPTQ,0.25246445360576875,-0.015689602227787196,0.9677246980869937,0.6503991165303492,0.9653735171529336,-0.5944958964171956,0.22290394972045158,-2.2506600673017534,0.1650402403367028,-12.234667436478038,0.4146876418942173
../Llama2-13B-MegaCode2-OASST-,0.2627466845626065,-0.015061473455697858,0.9872855943384911,0.6835440113753214,0.9835672304186158,-0.4703565943663288,0.2352229521488191,-2.453688561008376,0.1406478161032257,-11.999992269026627,0.4433212413431229
../LoKuS-13B-GPTQ,0.24825942955190486,-0.016802797745771134,0.9459004315335228,0.6342347473707554,0.9634775286811914,-0.4317301291280113,0.24296647742188313,-1.9319355313921713,0.17099748850621596,-12.470953920968846,0.38636659619783353
../LosslessMegaCoder-Llama2-13,0.2760739073079074,-0.014852418793005901,0.9896273530541683,0.702809612424981,0.9898834677935715,-0.38879523822194006,0.24908940630115425,-2.5885145326539396,0.12999599574775147,-11.774511731255602,0.47479102786409516
../Luban-13B-GPTQ,0.2941057593609684,-0.014562543707373312,0.9892007392007393,0.7183356348248309,0.9931854931854932,-0.174533193519523,0.27931872450828993,-2.238695989197026,0.14754063451047802,-11.771014591815373,0.4758298903734669
../Mythical-Destroyer-V2-L2-13,0.2959474714597381,-0.015021853963942813,0.9892830746489283,0.6891024940850835,0.9902861366276,-0.1082823696029351,0.2923888729090877,-2.2320101211043575,0.14626527366102238,-11.800199395688153,0.4670046415082027
../OpenOrca-Platypus2-13B-GPTQ,0.27029517729955216,-0.015200691372820353,0.9867075664621677,0.6945759271251767,0.9901584867075665,-0.38176248780529715,0.24791842028270103,-2.406274582954516,0.13949746771854613,-11.992514518628578,0.4496267920965614
../PuddleJumper-13B-GPTQ,0.24525091277521244,-0.018731563276528244,0.9089871315898713,0.63619750806251,0.9348277293482773,-0.28604781959966646,0.2617848677450119,-1.6362001115031735,0.17690311916305496,-12.825098021092778,0.34722987260250393
../Speechless-Llama2-13B-GPTQ,0.29857599610849644,-0.01608678392169641,0.9743816254416962,0.6895028159675848,0.986062033765214,-0.1250146393904188,0.2879457555310512,-0.8235322895661307,0.22303741689424772,-12.269838558537005,0.41454291498726564
../Speechless-Llama2-Hermes-Or,0.26380276087465115,-0.017485330070207805,0.9618528610354223,0.6736167213298189,0.9789963669391463,-0.21243306159419603,0.27229828845970094,-1.112811701499149,0.19926015276810347,-12.777906093891916,0.34899231760367605
../StableBeluga-13B-GPTQ,0.23713622622775088,-0.016994364738754753,0.9185137595031588,0.6434874623229172,0.926865831459471,-0.5379498320879241,0.2245094258418391,-1.9015471545439075,0.1705902328499125,-12.538038777237928,0.37659939035050477
../Stheno-Inverted-L2-13B-GPTQ,0.2854782013787849,-0.015042653016315138,0.9825761276665038,0.6855174051409155,0.9876241654453672,-0.30736540015842745,0.2583083615790023,-1.6518085478364544,0.18210813691883557,-11.95962174065706,0.45059158185635745
../UndiMix-v2-13B-GPTQ,0.25713058852739745,-0.017605538147791495,0.9584484982494933,0.660416659928015,0.9789939192924267,-0.29747873335594277,0.25712314061374325,-1.01045081271461,0.20778099980575288,-12.819316503420398,0.34456098741406077
../YuLan-Chat-2-13B-GPTQ,0.21138860329617454,-0.01972356122558578,0.8628559463986599,0.6085658137986802,0.8996021775544388,-0.6357010168374555,0.20711921129556657,-1.5869221713025765,0.1838875863345424,-13.053088726510154,0.31699141925528423
../orca_mini_v3_13B-GPTQ,0.22617361503524508,-0.01859872829892135,0.880589430894309,0.6133795123539034,0.8971544715447154,-0.5364909604163445,0.22668584127554564,-1.5157541783844553,0.1881643624658265,-12.85482207507622,0.3366741837009909
